,Date/Time,Opponent,Point Elapsed Seconds,Line,Our Score - End of Point,Their Score - End of Point,Event Type,Action,Passer,Receiver,Defender,Hang Time (secs),Player 0,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10,Player 11,Player 12,Player 13,Player 14,Player 15,Player 16,Player 17,Player 18,Player 19,Player 20,Player 21,Player 22,Player 23,Player 24,Player 25,Player 26,Player 27,Elapsed Time (secs),Begin Area,Begin X,Begin Y,End Area,End X,End Y,Distance Unit of Measure,Absolute Distance,Lateral Distance,Toward Our Goal Distance,Teamname,Tournament
0,2018-03-31 16:06,Indianapolis AlleyCats,130,D,0,1,Defense,Pull,,,Basten de Jongh,,Billy Mainwaring,Travis Compo,Basten de Jongh,,Josh Lyder,,Brendan McCann,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,Detroit Mechanix,AUDL 2018
1,2018-03-31 16:06,Indianapolis AlleyCats,130,D,0,1,Defense,D,,,Brendan McCann,,Billy Mainwaring,Travis Compo,Basten de Jongh,,Josh Lyder,,Brendan McCann,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,Detroit Mechanix,AUDL 2018
2,2018-03-31 16:06,Indianapolis AlleyCats,130,D,0,1,Offense,Catch,Travis Compo,Brendan McCann,,,Billy Mainwaring,Travis Compo,Basten de Jongh,,Josh Lyder,,Brendan McCann,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,Detroit Mechanix,AUDL 2018
3,2018-03-31 16:06,Indianapolis AlleyCats,130,D,0,1,Offense,Stall,Brendan McCann,,,,Billy Mainwaring,Travis Compo,Basten de Jongh,,Josh Lyder,,Brendan McCann,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,Detroit Mechanix,AUDL 2018
4,2018-03-31 16:06,Indianapolis AlleyCats,130,D,0,1,Defense,D,,,,,Billy Mainwaring,Travis Compo,Basten de Jongh,,Josh Lyder,,Brendan McCann,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,Detroit Mechanix,AUDL 2018
5,2018-03-31 16:06,Indianapolis AlleyCats,130,D,0,1,Offense,Throwaway,Josh Lyder,,,,Billy Mainwaring,Travis Compo,Basten de Jongh,,Josh Lyder,,Brendan McCann,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,Detroit Mechanix,AUDL 2018
6,2018-03-31 16:06,Indianapolis AlleyCats,130,D,0,1,Defense,D,,,,,Billy Mainwaring,Travis Compo,Basten de Jongh,,Josh Lyder,,Brendan McCann,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,Detroit Mechanix,AUDL 2018
7,2018-03-31 16:06,Indianapolis AlleyCats,130,D,0,1,Offense,Catch,Travis Compo,Josh Lyder,,,Billy Mainwaring,Travis Compo,Basten de Jongh,,Josh Lyder,,Brendan McCann,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,Detroit Mechanix,AUDL 2018
8,2018-03-31 16:06,Indianapolis AlleyCats,130,D,0,1,Offense,Catch,Josh Lyder,Travis Compo,,,Billy Mainwaring,Travis Compo,Basten de Jongh,,Josh Lyder,,Brendan McCann,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,Detroit Mechanix,AUDL 2018
9,2018-03-31 16:06,Indianapolis AlleyCats,130,D,0,1,Offense,Catch,Travis Compo,,,,Billy Mainwaring,Travis Compo,Basten de Jongh,,Josh Lyder,,Brendan McCann,,,,,,,,,,,,,,,,,,,,,,36,,,,,,,,,,,Detroit Mechanix,AUDL 2018
10,2018-03-31 16:06,Indianapolis AlleyCats,130,D,0,1,Offense,Catch,,Billy Mainwaring,,,Billy Mainwaring,Travis Compo,Basten de Jongh,,Josh Lyder,,Brendan McCann,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,Detroit Mechanix,AUDL 2018
11,2018-03-31 16:06,Indianapolis AlleyCats,130,D,0,1,Offense,Catch,Billy Mainwaring,Josh Lyder,,,Billy Mainwaring,Travis Compo,Basten de Jongh,,Josh Lyder,,Brendan McCann,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,,Detroit Mechanix,AUDL 2018
12,2018-03-31 16:06,Indianapolis AlleyCats,130,D,0,1,Offense,Throwaway,Josh Lyder,,,,Billy Mainwaring,Travis Compo,Basten de Jongh,,Josh Lyder,,Brendan McCann,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,Detroit Mechanix,AUDL 2018
13,2018-03-31 16:06,Indianapolis AlleyCats,130,D,0,1,Defense,Goal,,,,,Billy Mainwaring,Travis Compo,Basten de Jongh,,Josh Lyder,,Brendan McCann,,,,,,,,,,,,,,,,,,,,,,128,,,,,,,,,,,Detroit Mechanix,AUDL 2018
14,2018-03-31 16:06,Indianapolis AlleyCats,51,O,1,1,Offense,Catch,Noah Fisher,Karl Fauerbach,,,Karl Fauerbach,Jay Kinzel,Ryan Yergin,Channing Watson,Ryan Mariouw,Noah Fisher,Evan Parizot,,,,,,,,,,,,,,,,,,,,,,127,,,,,,,,,,,Detroit Mechanix,AUDL 2018
15,2018-03-31 16:06,Indianapolis AlleyCats,51,O,1,1,Offense,Catch,Karl Fauerbach,Channing Watson,,,Karl Fauerbach,Jay Kinzel,Ryan Yergin,Channing Watson,Ryan Mariouw,Noah Fisher,Evan Parizot,,,,,,,,,,,,,,,,,,,,,,136,,,,,,,,,,,Detroit Mechanix,AUDL 2018
16,2018-03-31 16:06,Indianapolis AlleyCats,51,O,1,1,Offense,Catch,Channing Watson,Karl Fauerbach,,,Karl Fauerbach,Jay Kinzel,Ryan Yergin,Channing Watson,Ryan Mariouw,Noah Fisher,Evan Parizot,,,,,,,,,,,,,,,,,,,,,,140,,,,,,,,,,,Detroit Mechanix,AUDL 2018
17,2018-03-31 16:06,Indianapolis AlleyCats,51,O,1,1,Offense,Catch,Karl Fauerbach,Evan Parizot,,,Karl Fauerbach,Jay Kinzel,Ryan Yergin,Channing Watson,Ryan Mariouw,Noah Fisher,Evan Parizot,,,,,,,,,,,,,,,,,,,,,,144,,,,,,,,,,,Detroit Mechanix,AUDL 2018
18,2018-03-31 16:06,Indianapolis AlleyCats,51,O,1,1,Offense,Catch,Evan Parizot,Ryan Yergin,,,Karl Fauerbach,Jay Kinzel,Ryan Yergin,Channing Watson,Ryan Mariouw,Noah Fisher,Evan Parizot,,,,,,,,,,,,,,,,,,,,,,148,,,,,,,,,,,Detroit Mechanix,AUDL 2018
