,Teamname,Tournament,Username
0,Atlanta Hustle,AUDL 2015,A Olsen
1,Atlanta Hustle,AUDL 2016,A Olsen
2,Atlanta Hustle,AUDL 2017,A Olsen
3,Atlanta Hustle,AUDL 2018,A Olsen
4,Atlanta Hustle,AUDL 2016,A Taylor
5,Atlanta Hustle,AUDL 2017,A Taylor
6,Atlanta Hustle,AUDL 2018,A Taylor
7,Atlanta Hustle,AUDL 2015,Allan L
8,Atlanta Hustle,AUDL 2016,Allan L
9,Atlanta Hustle,AUDL 2017,Allan L
10,Atlanta Hustle,AUDL 2018,Allan L
11,Atlanta Hustle,AUDL 2015,Archie
12,Atlanta Hustle,AUDL 2016,Archie
13,Atlanta Hustle,AUDL 2017,Archie
14,Atlanta Hustle,AUDL 2015,B Hannah
15,Atlanta Hustle,AUDL 2015,B. Liu
16,Atlanta Hustle,AUDL 2015,B. Moore
17,Atlanta Hustle,AUDL 2018,Batson
18,Atlanta Hustle,AUDL 2016,Berendes
19,Atlanta Hustle,AUDL 2018,Big Mike
20,Atlanta Hustle,AUDL 2016,Birdsong
21,Atlanta Hustle,AUDL 2017,Birdsong
22,Atlanta Hustle,AUDL 2018,Birdsong
23,Atlanta Hustle,AUDL 2016,Boecking
24,Atlanta Hustle,AUDL 2017,Boecking
25,Atlanta Hustle,AUDL 2015,Boezi
26,Atlanta Hustle,AUDL 2016,Bradham
27,Atlanta Hustle,AUDL 2017,Bradham
28,Atlanta Hustle,AUDL 2016,Bray
29,Atlanta Hustle,AUDL 2015,Breault
30,Atlanta Hustle,AUDL 2016,Breault
31,Atlanta Hustle,AUDL 2018,Burgess
32,Atlanta Hustle,AUDL 2017,Bush
33,Atlanta Hustle,AUDL 2018,Bush
34,Atlanta Hustle,AUDL 2016,C Olsen
35,Atlanta Hustle,AUDL 2017,C Olsen
36,Atlanta Hustle,AUDL 2018,C Olsen
37,Atlanta Hustle,AUDL 2015,C. Olsen
38,Atlanta Hustle,AUDL 2017,Caldwell
39,Atlanta Hustle,AUDL 2018,Caldwell
40,Atlanta Hustle,AUDL 2018,Cary
41,Atlanta Hustle,AUDL 2018,Crowe
42,Atlanta Hustle,AUDL 2018,Cutts
43,Atlanta Hustle,AUDL 2015,D Cox
44,Atlanta Hustle,AUDL 2018,Danny On
45,Atlanta Hustle,AUDL 2016,Dylan
46,Atlanta Hustle,AUDL 2017,Dylan
47,Atlanta Hustle,AUDL 2015,Dylan T
48,Atlanta Hustle,AUDL 2016,Erickson
49,Atlanta Hustle,AUDL 2015,F Wooten
50,Atlanta Hustle,AUDL 2018,French
51,Atlanta Hustle,AUDL 2016,Gainer
52,Atlanta Hustle,AUDL 2017,Gainer
53,Atlanta Hustle,AUDL 2018,Gainer
54,Atlanta Hustle,AUDL 2017,Haskell
55,Atlanta Hustle,AUDL 2016,Hicks
56,Atlanta Hustle,AUDL 2018,Hunt
57,Atlanta Hustle,AUDL 2017,Hunter
58,Atlanta Hustle,AUDL 2015,J Clark
59,Atlanta Hustle,AUDL 2015,J Feng
60,Atlanta Hustle,AUDL 2016,JP Burns
61,Atlanta Hustle,AUDL 2017,JP Burns
62,Atlanta Hustle,AUDL 2018,JP Burns
63,Atlanta Hustle,AUDL 2015,Jack K
64,Atlanta Hustle,AUDL 2017,Jaime
65,Atlanta Hustle,AUDL 2018,Jaime
66,Atlanta Hustle,AUDL 2016,Jon Fey
67,Atlanta Hustle,AUDL 2017,Justin M
68,Atlanta Hustle,AUDL 2018,Karl E
69,Atlanta Hustle,AUDL 2017,Kelvin
70,Atlanta Hustle,AUDL 2018,Kelvin
71,Atlanta Hustle,AUDL 2016,Kelvin W
72,Atlanta Hustle,AUDL 2016,Knowles
73,Atlanta Hustle,AUDL 2017,Knowles
74,Atlanta Hustle,AUDL 2018,Knowles
75,Atlanta Hustle,AUDL 2015,Kyle S
76,Atlanta Hustle,AUDL 2016,Kyle S
77,Atlanta Hustle,AUDL 2017,Kyle S
78,Atlanta Hustle,AUDL 2018,Kyle S
79,Atlanta Hustle,AUDL 2017,Lally
80,Atlanta Hustle,AUDL 2016,Leonard
81,Atlanta Hustle,AUDL 2017,Leonard
82,Atlanta Hustle,AUDL 2016,Little
83,Atlanta Hustle,AUDL 2016,M Smith
84,Atlanta Hustle,AUDL 2017,M Smith
85,Atlanta Hustle,AUDL 2015,M Spear
86,Atlanta Hustle,AUDL 2015,M. Poole
87,Atlanta Hustle,AUDL 2015,Matt K.
88,Atlanta Hustle,AUDL 2015,Matt S
89,Atlanta Hustle,AUDL 2018,Matt S
90,Atlanta Hustle,AUDL 2017,Micah Jo
91,Atlanta Hustle,AUDL 2018,Micah Jo
92,Atlanta Hustle,AUDL 2018,Minch
93,Atlanta Hustle,AUDL 2016,NHaskell
