,Teamname,Tournament,Username,PlayerName
0,Atlanta Hustle,AUDL 2015,A Olsen,Anders Olsen
1,Atlanta Hustle,AUDL 2016,A Olsen,Anders Olsen
2,Atlanta Hustle,AUDL 2017,A Olsen,Anders Olsen
3,Atlanta Hustle,AUDL 2018,A Olsen,Anders Olsen
4,Atlanta Hustle,AUDL 2016,A Taylor,Austin Taylor
5,Atlanta Hustle,AUDL 2017,A Taylor,Austin Taylor
6,Atlanta Hustle,AUDL 2018,A Taylor,Austin Taylor
7,Atlanta Hustle,AUDL 2015,Allan L,Allan Laviolette
8,Atlanta Hustle,AUDL 2016,Allan L,Allan Laviolette
9,Atlanta Hustle,AUDL 2017,Allan L,Allan Laviolette
10,Atlanta Hustle,AUDL 2018,Allan L,Allan Laviolette
11,Atlanta Hustle,AUDL 2015,Archie,Ryan Archibald
12,Atlanta Hustle,AUDL 2016,Archie,Ryan Archibald
13,Atlanta Hustle,AUDL 2017,Archie,Ryan Archibald
14,Atlanta Hustle,AUDL 2015,B Hannah,
15,Atlanta Hustle,AUDL 2015,B. Liu,
16,Atlanta Hustle,AUDL 2015,B. Moore,
17,Atlanta Hustle,AUDL 2018,Batson,Sam Batson
18,Atlanta Hustle,AUDL 2016,Berendes,David Berendes
19,Atlanta Hustle,AUDL 2018,Big Mike,Mike Tillotson
20,Atlanta Hustle,AUDL 2016,Birdsong,
21,Atlanta Hustle,AUDL 2017,Birdsong,
22,Atlanta Hustle,AUDL 2018,Birdsong,
23,Atlanta Hustle,AUDL 2016,Boecking,Evan Boecking
24,Atlanta Hustle,AUDL 2017,Boecking,Evan Boecking
25,Atlanta Hustle,AUDL 2015,Boezi,
26,Atlanta Hustle,AUDL 2016,Bradham,Robert Bradham
27,Atlanta Hustle,AUDL 2017,Bradham,Robert Bradham
28,Atlanta Hustle,AUDL 2016,Bray,Parker Bray
29,Atlanta Hustle,AUDL 2015,Breault,
30,Atlanta Hustle,AUDL 2016,Breault,
31,Atlanta Hustle,AUDL 2018,Burgess,Adam Burgess
32,Atlanta Hustle,AUDL 2017,Bush,Josh Bush
33,Atlanta Hustle,AUDL 2018,Bush,Josh Bush
34,Atlanta Hustle,AUDL 2016,C Olsen,Christian Olsen
35,Atlanta Hustle,AUDL 2017,C Olsen,Christian Olsen
36,Atlanta Hustle,AUDL 2018,C Olsen,Christian Olsen
37,Atlanta Hustle,AUDL 2015,C. Olsen,Christian Olsen
38,Atlanta Hustle,AUDL 2017,Caldwell,Andrell Caldwell
39,Atlanta Hustle,AUDL 2018,Caldwell,Andrell Caldwell
40,Atlanta Hustle,AUDL 2018,Cary,Mason Cary
41,Atlanta Hustle,AUDL 2018,Crowe,Jason Crowe
42,Atlanta Hustle,AUDL 2018,Cutts,Hunter Cutts
43,Atlanta Hustle,AUDL 2015,D Cox,
44,Atlanta Hustle,AUDL 2018,Danny On,Danny On
45,Atlanta Hustle,AUDL 2016,Dylan,Dylan Tunnell
46,Atlanta Hustle,AUDL 2017,Dylan,Dylan Tunnell
47,Atlanta Hustle,AUDL 2015,Dylan T,Dylan Tunnell
48,Atlanta Hustle,AUDL 2016,Erickson,
49,Atlanta Hustle,AUDL 2015,F Wooten,
50,Atlanta Hustle,AUDL 2018,French,Tyler French
51,Atlanta Hustle,AUDL 2016,Gainer,Sam Gainer
52,Atlanta Hustle,AUDL 2017,Gainer,Sam Gainer
53,Atlanta Hustle,AUDL 2018,Gainer,Sam Gainer
54,Atlanta Hustle,AUDL 2017,Haskell,
55,Atlanta Hustle,AUDL 2016,Hicks,
56,Atlanta Hustle,AUDL 2018,Hunt,Hunter Cutts
57,Atlanta Hustle,AUDL 2017,Hunter,Nick Hunter
58,Atlanta Hustle,AUDL 2015,J Clark,
59,Atlanta Hustle,AUDL 2015,J Feng,
60,Atlanta Hustle,AUDL 2016,JP Burns,JP Burns
61,Atlanta Hustle,AUDL 2017,JP Burns,JP Burns
62,Atlanta Hustle,AUDL 2018,JP Burns,JP Burns
63,Atlanta Hustle,AUDL 2015,Jack K,
64,Atlanta Hustle,AUDL 2017,Jaime,Jaime Perez
65,Atlanta Hustle,AUDL 2018,Jaime,Jaime Perez
66,Atlanta Hustle,AUDL 2016,Jon Fey,
67,Atlanta Hustle,AUDL 2017,Justin M,Justin Mattingly
68,Atlanta Hustle,AUDL 2018,Karl E,Karl Ekwurtzel
69,Atlanta Hustle,AUDL 2017,Kelvin,Kelvin Williams
70,Atlanta Hustle,AUDL 2018,Kelvin,Kelvin Williams
71,Atlanta Hustle,AUDL 2016,Kelvin W,Kelvin Williams
72,Atlanta Hustle,AUDL 2016,Knowles,Matthew Knowles
73,Atlanta Hustle,AUDL 2017,Knowles,Matthew Knowles
74,Atlanta Hustle,AUDL 2018,Knowles,Matthew Knowles
75,Atlanta Hustle,AUDL 2015,Kyle S,Kyle Stapleton
76,Atlanta Hustle,AUDL 2016,Kyle S,Kyle Stapleton
77,Atlanta Hustle,AUDL 2017,Kyle S,Kyle Stapleton
78,Atlanta Hustle,AUDL 2018,Kyle S,Kyle Stapleton
79,Atlanta Hustle,AUDL 2017,Lally,Paul Lally
80,Atlanta Hustle,AUDL 2016,Leonard,Max Leonard
81,Atlanta Hustle,AUDL 2017,Leonard,Max Leonard
82,Atlanta Hustle,AUDL 2016,Little,
83,Atlanta Hustle,AUDL 2016,M Smith,Matt Smith
84,Atlanta Hustle,AUDL 2017,M Smith,Matt Smith
85,Atlanta Hustle,AUDL 2015,M Spear,
86,Atlanta Hustle,AUDL 2015,M. Poole,
87,Atlanta Hustle,AUDL 2015,Matt K.,
88,Atlanta Hustle,AUDL 2015,Matt S,Matt Smith
89,Atlanta Hustle,AUDL 2018,Matt S,Matt Smith
90,Atlanta Hustle,AUDL 2017,Micah Jo,
91,Atlanta Hustle,AUDL 2018,Micah Jo,
92,Atlanta Hustle,AUDL 2018,Minch,Taylor Minch
93,Atlanta Hustle,AUDL 2016,NHaskell,
94,Atlanta Hustle,AUDL 2017,Newman,
