Unnamed: 0,Teamname,Tournament,Username,PlayerName,Suggestion1,Suggestion2,Suggestion3,MatchScore
0,Atlanta Hustle,AUDL 2015,A Olsen,Anders Olsen,Anders Olsen,Christian Olsen,Josh Feng,0.736842105
1,Atlanta Hustle,AUDL 2016,A Olsen,Anders Olsen,Anders Olsen,Christian Olsen,Sam Little,0.736842105
2,Atlanta Hustle,AUDL 2017,A Olsen,Anders Olsen,Anders Olsen,Christian Olsen,Max Leonard,0.736842105
3,Atlanta Hustle,AUDL 2018,A Olsen,Anders Olsen,Anders Olsen,Christian Olsen,Danny On,0.736842105
4,Atlanta Hustle,AUDL 2016,A Taylor,Austin Taylor,Austin Taylor,Taylor Goforth,Parker Bray,0.761904762
5,Atlanta Hustle,AUDL 2017,A Taylor,Austin Taylor,Austin Taylor,Taylor Goforth,Parker Bray,0.761904762
6,Atlanta Hustle,AUDL 2018,A Taylor,Austin Taylor,Austin Taylor,Taylor Minch,Tyler French,0.761904762
7,Atlanta Hustle,AUDL 2015,Allan L,Allan Laviolette,Allan Laviolette,Dylan Tunnell,Byron Liu,0.608695652
8,Atlanta Hustle,AUDL 2016,Allan L,Allan Laviolette,Allan Laviolette,Dylan Tunnell,Yusuf Abdullah,0.608695652
9,Atlanta Hustle,AUDL 2017,Allan L,Allan Laviolette,Allan Laviolette,Dylan Tunnell,Yusuf Abdullah,0.608695652
10,Atlanta Hustle,AUDL 2018,Allan L,Allan Laviolette,Allan Laviolette,Danny On,Yusuf Abdullah,0.608695652
11,Atlanta Hustle,AUDL 2015,Archie,Ryan Archibald,Ryan Archibald,Brian Moore,Jack Krieger,0.5
12,Atlanta Hustle,AUDL 2016,Archie,Ryan Archibald,Ryan Archibald,Will Carmichael,,0.5
13,Atlanta Hustle,AUDL 2017,Archie,Ryan Archibald,Ryan Archibald,Martin Newman,,0.5
14,Atlanta Hustle,AUDL 2015,B Hannah,Blake Hannah,Blake Hannah,Sean Sears,Ryan James,0.8
15,Atlanta Hustle,AUDL 2015,B. Liu,Byron Liu,Byron Liu,Ben Breault,,0.666666667
16,Atlanta Hustle,AUDL 2015,B. Moore,Brian Moore,Brian Moore,Mark Poole,Ben Breault,0.736842105
17,Atlanta Hustle,AUDL 2018,Batson,Sam Batson,Sam Batson,Mason Cary,Jason Crowe,0.75
18,Atlanta Hustle,AUDL 2016,Berendes,David Berendes,David Berendes,JP Burns,Sean Sears,0.727272727
19,Atlanta Hustle,AUDL 2018,Big Mike,Mike Tillotson,Mike Tillotson,Sam Gainer,Taylor Minch,0.363636364
20,Atlanta Hustle,AUDL 2016,Birdsong,Stan Birdsong,Stan Birdsong,Elliott Erickson,Evan Boecking,0.761904762
21,Atlanta Hustle,AUDL 2017,Birdsong,Stan Birdsong,Stan Birdsong,Evan Boecking,JP Burns,0.761904762
22,Atlanta Hustle,AUDL 2018,Birdsong,Stan Birdsong,Sam Batson,JP Burns,Mike Tillotson,0.761904762
23,Atlanta Hustle,AUDL 2016,Boecking,Evan Boecking,Evan Boecking,Stan Birdsong,Daniel Sperling,0.761904762
24,Atlanta Hustle,AUDL 2017,Boecking,Evan Boecking,Evan Boecking,Stan Birdsong,Daniel Sperling,0.761904762
25,Atlanta Hustle,AUDL 2015,Boezi,,Byron Liu,Sun Choi,,0
26,Atlanta Hustle,AUDL 2016,Bradham,Robert Bradham,Robert Bradham,Bryan Sansbury,Parker Bray,0.666666667
27,Atlanta Hustle,AUDL 2017,Bradham,Robert Bradham,Robert Bradham,Parker Bray,,0.666666667
28,Atlanta Hustle,AUDL 2016,Bray,Parker Bray,Parker Bray,Ben Breault,Robert Bradham,0.533333333
29,Atlanta Hustle,AUDL 2015,Breault,Ben Breault,Ben Breault,Byron Liu,Brian Moore,0.777777778
30,Atlanta Hustle,AUDL 2016,Breault,Ben Breault,Ben Breault,Bryan Sansbury,Parker Bray,0.777777778
31,Atlanta Hustle,AUDL 2018,Burgess,Adam Burgess,Adam Burgess,JP Burns,Josh Bush,0.736842105
32,Atlanta Hustle,AUDL 2017,Bush,Josh Bush,Josh Bush,JP Burns,Yusuf Abdullah,0.615384615
33,Atlanta Hustle,AUDL 2018,Bush,Josh Bush,Josh Bush,JP Burns,Adam Burgess,0.615384615
34,Atlanta Hustle,AUDL 2016,C Olsen,Christian Olsen,Christian Olsen,Anders Olsen,Sam Little,0.636363636
35,Atlanta Hustle,AUDL 2017,C Olsen,Christian Olsen,Christian Olsen,Anders Olsen,Max Leonard,0.636363636
36,Atlanta Hustle,AUDL 2018,C Olsen,Christian Olsen,Christian Olsen,Anders Olsen,Danny On,0.636363636
37,Atlanta Hustle,AUDL 2015,C. Olsen,Christian Olsen,Christian Olsen,Anders Olsen,Josh Feng,0.608695652
38,Atlanta Hustle,AUDL 2017,Caldwell,Andrell Caldwell,Evan Caldwell,Dylan Tunnell,Nathan Haskell,0.666666667
39,Atlanta Hustle,AUDL 2018,Caldwell,Andrell Caldwell,Andrell Caldwell,Karl Ekwurtzel,Daniel Sperling,0.666666667
40,Atlanta Hustle,AUDL 2018,Cary,Mason Cary,Mason Cary,Carter Rae,Parker Bray,0.571428571
41,Atlanta Hustle,AUDL 2018,Crowe,Jason Crowe,Jason Crowe,Carter Rae,Karl Ekwurtzel,0.625
42,Atlanta Hustle,AUDL 2018,Cutts,Hunter Cutts,Hunter Cutts,JP Burns,Matthew Knowles,0.588235294
43,Atlanta Hustle,AUDL 2015,D Cox,Devin Cox,Devin Cox,Sun Choi,,0.714285714
44,Atlanta Hustle,AUDL 2018,Danny On,Danny On,Danny On,Daniel Sperling,Christian Olsen,1
45,Atlanta Hustle,AUDL 2016,Dylan,Dylan Tunnell,Dylan Tunnell,Kyle Stapleton,Ryan Archibald,0.555555556
46,Atlanta Hustle,AUDL 2017,Dylan,Dylan Tunnell,Dylan Tunnell,Kyle Stapleton,Ryan Archibald,0.555555556
47,Atlanta Hustle,AUDL 2015,Dylan T,Dylan Tunnell,Dylan Tunnell,Ryan James,Ryans Simmons,0.7
48,Atlanta Hustle,AUDL 2016,Erickson,Elliott Erickson,Elliott Erickson,Steven Hicks,Stan Birdsong,0.666666667
49,Atlanta Hustle,AUDL 2015,F Wooten,Frank Wooten,Frank Wooten,Mark Poole,Brian Moore,0.8
50,Atlanta Hustle,AUDL 2018,French,Tyler French,Tyler French,Taylor Minch,Anders Olsen,0.666666667
51,Atlanta Hustle,AUDL 2016,Gainer,Sam Gainer,Sam Gainer,David Berendes,Daniel Sperling,0.75
52,Atlanta Hustle,AUDL 2017,Gainer,Sam Gainer,Sam Gainer,Jaime Perez,Martin Newman,0.75
53,Atlanta Hustle,AUDL 2018,Gainer,Sam Gainer,Sam Gainer,Jaime Perez,Daniel Sperling,0.75
54,Atlanta Hustle,AUDL 2017,Haskell,Nathan Haskell,Nathan Haskell,Evan Caldwell,Dylan Tunnell,0.666666667
55,Atlanta Hustle,AUDL 2016,Hicks,Steven Hicks,Steven Hicks,Elliott Erickson,Trenton Spinks,0.588235294
56,Atlanta Hustle,AUDL 2018,Hunt,Hunter Cutts,Hunter Cutts,Sun Choi,JP Burns,0.5
57,Atlanta Hustle,AUDL 2017,Hunter,Nick Hunter,Nicholas Hunter,Josh Turner,Sam Gainer,0.705882353
58,Atlanta Hustle,AUDL 2015,J Clark,Jay Clark,Jay Clark,Sean Sears,Mark Poole,0.875
59,Atlanta Hustle,AUDL 2015,J Feng,Josh Feng,Josh Feng,Jack Krieger,Frank Wooten,0.8
60,Atlanta Hustle,AUDL 2016,JP Burns,JP Burns,JP Burns,David Berendes,Parker Bray,1
61,Atlanta Hustle,AUDL 2017,JP Burns,JP Burns,JP Burns,Josh Bush,Josh Turner,1
62,Atlanta Hustle,AUDL 2018,JP Burns,JP Burns,JP Burns,Josh Bush,Josh Turner,1
63,Atlanta Hustle,AUDL 2015,Jack K,Jack Krieger,Jack Krieger,Jay Clark,Mark Poole,0.666666667
64,Atlanta Hustle,AUDL 2017,Jaime,Jaime Perez,Jaime Perez,Sam Gainer,Martin Newman,0.625
65,Atlanta Hustle,AUDL 2018,Jaime,Jaime Perez,Jaime Perez,Sam Gainer,Jason Crowe,0.625
66,Atlanta Hustle,AUDL 2016,Jon Fey,Jon Fey,Jon Fey,Sean Sears,Ben Breault,1
67,Atlanta Hustle,AUDL 2017,Justin M,Justin Mattingly,Justin Mattingly,Austin Taylor,Christian Olsen,0.666666667
68,Atlanta Hustle,AUDL 2018,Karl E,Karl Ekwurtzel,Karl Ekwurtzel,Carter Rae,Parker Bray,0.6
69,Atlanta Hustle,AUDL 2017,Kelvin,Kelvin Williams,Kelvin Williams,Daniel Sperling,Evan Boecking,0.571428571
70,Atlanta Hustle,AUDL 2018,Kelvin,Kelvin Williams,Kelvin Williams,Daniel Sperling,Taylor Minch,0.571428571
71,Atlanta Hustle,AUDL 2016,Kelvin W,Kelvin Williams,Kelvin Williams,Steven Hicks,Daniel Sperling,0.695652174
72,Atlanta Hustle,AUDL 2016,Knowles,Matthew Knowles,Matthew Knowles,Mark Poole,Allan Laviolette,0.636363636
73,Atlanta Hustle,AUDL 2017,Knowles,Matthew Knowles,Matthew Knowles,Allan Laviolette,Karl Staber,0.636363636
74,Atlanta Hustle,AUDL 2018,Knowles,Matthew Knowles,Matthew Knowles,Jason Crowe,Allan Laviolette,0.636363636
75,Atlanta Hustle,AUDL 2015,Kyle S,Kyle Stapleton,Kyle Stapleton,Sean Sears,Blake Hannah,0.6
76,Atlanta Hustle,AUDL 2016,Kyle S,Kyle Stapleton,Kyle Stapleton,Karl Staber,Sean Sears,0.6
77,Atlanta Hustle,AUDL 2017,Kyle S,Kyle Stapleton,Kyle Stapleton,Karl Staber,Sean Sears,0.6
78,Atlanta Hustle,AUDL 2018,Kyle S,Kyle Stapleton,Kyle Stapleton,Tyler French,Taylor Minch,0.6
79,Atlanta Hustle,AUDL 2017,Lally,Paul Lally,Paul Lally,Evan Caldwell,Dylan Tunnell,0.666666667
80,Atlanta Hustle,AUDL 2016,Leonard,Max Leonard,Max Leonard,Sean Sears,Ben Breault,0.777777778
81,Atlanta Hustle,AUDL 2017,Leonard,Max Leonard,Max Leonard,Sean Sears,Stan Birdsong,0.777777778
82,Atlanta Hustle,AUDL 2016,Little,Sam Little,Sam Little,Matthew Knowles,Christian Olsen,0.75
83,Atlanta Hustle,AUDL 2016,M Smith,Matt Smith,Matt Smith,Sam Little,Will Carmichael,0.823529412
84,Atlanta Hustle,AUDL 2017,M Smith,Matt Smith,Matt Smith,Micah Jo,Sam Gainer,0.823529412
85,Atlanta Hustle,AUDL 2015,M Spear,Michael Spear,Michael Spear,Sean Sears,Jay Clark,0.7
86,Atlanta Hustle,AUDL 2015,M. Poole,Mark Poole,Mark Poole,Matthew Knowles,Brian Moore,0.777777778
87,Atlanta Hustle,AUDL 2015,Matt K.,Matt Smith,Matt Smith,Matthew Knowles,Mark Poole,0.588235294
88,Atlanta Hustle,AUDL 2015,Matt S,Matt Smith,Matt Smith,Matthew Knowles,Michael Spear,0.75
89,Atlanta Hustle,AUDL 2018,Matt S,Matt Smith,Matt Smith,Matthew Knowles,Mason Cary,0.75
90,Atlanta Hustle,AUDL 2017,Micah Jo,Micah Jo,Micah Jo,Matthew Knowles,Max Leonard,1
91,Atlanta Hustle,AUDL 2018,Micah Jo,Micah Jo,Matthew Knowles,Taylor Minch,Mike Tillotson,1
92,Atlanta Hustle,AUDL 2018,Minch,Taylor Minch,Taylor Minch,Matt Smith,Tyler French,0.588235294
93,Atlanta Hustle,AUDL 2016,NHaskell,Nathan Haskell,Nathan Haskell,Dylan Tunnell,Daniel Sperling,0.727272727
94,Atlanta Hustle,AUDL 2017,Newman,Martin Newman,Martin Newman,Sean Sears,Nathan Vickroy,0.631578947
95,Atlanta Hustle,AUDL 2017,Parker,Parker Bray,Parker Bray,Karl Staber,Sam Gainer,0.705882353
96,Atlanta Hustle,AUDL 2018,Parker,Parker Bray,Parker Bray,Patrick Dougherty,Carter Rae,0.705882353
97,Atlanta Hustle,AUDL 2018,Patrick,Patrick Dougherty,Patrick Dougherty,Player Pierce,Parker Bray,0.583333333
98,Atlanta Hustle,AUDL 2017,Perivier,Jacques Perivier,Jacques Perivier,Parker Bray,Jaime Perez,0.666666667
99,Atlanta Hustle,AUDL 2018,Perivier,Jacques Perivier,Jacques Perivier,Player Pierce,Parker Bray,0.666666667
100,Atlanta Hustle,AUDL 2018,Player,Player Pierce,Player Pierce,Parker Bray,Sam Gainer,0.631578947
101,Atlanta Hustle,AUDL 2016,Poole,Mark Poole,Mark Poole,Frank Wooten,Jon Fey,0.666666667
102,Atlanta Hustle,AUDL 2015,R James,Ryan James,Ryan James,Robert Bradham,Sebbi Di Francesco,0.823529412
103,Atlanta Hustle,AUDL 2015,R Runner,Robert Runner,Robert Runner,Dylan Tunnell,Ryan James,0.761904762
104,Atlanta Hustle,AUDL 2015,RBradham,Robert Bradham,Robert Bradham,Ryan James,Ryan Archibald,0.727272727
105,Atlanta Hustle,AUDL 2015,RSimmons,Ryans Simmons,Ryans Simmons,Sean Sears,Ryan James,0.761904762
106,Atlanta Hustle,AUDL 2018,Rae,Carter Rae,Carter Rae,Sam Gainer,,0.461538462
107,Atlanta Hustle,AUDL 2018,Rogers,Devon Rogers,Devon Rogers,Josh Turner,Patrick Dougherty,0.666666667
108,Atlanta Hustle,AUDL 2016,Runner,Robert Runner,Robert Runner,Dylan Tunnell,Sam Gainer,0.631578947
109,Atlanta Hustle,AUDL 2015,S Sears,Sean Sears,Sean Sears,Michael Spear,Jay Clark,0.823529412
110,Atlanta Hustle,AUDL 2015,S. Hicks,Steven Hicks,Steven Hicks,Sun Choi,Trenton Spinks,0.7
111,Atlanta Hustle,AUDL 2016,Sansbury,Bryan Sansbury,Bryan Sansbury,Sean Sears,Sam Gainer,0.727272727
112,Atlanta Hustle,AUDL 2016,Sears,Sean Sears,Sean Sears,Stan Birdsong,Sam Gainer,0.666666667
113,Atlanta Hustle,AUDL 2017,Sears,Sean Sears,Sean Sears,Stan Birdsong,Sam Gainer,0.666666667
114,Atlanta Hustle,AUDL 2015,Sebbi D,Sebbi Di Francesco,Sebbi Di Francesco,Sean Sears,Steven Hicks,0.56
115,Atlanta Hustle,AUDL 2016,Sperling,Daniel Sperling,Daniel Sperling,Anders Olsen,Stan Birdsong,0.695652174
116,Atlanta Hustle,AUDL 2017,Sperling,Daniel Sperling,Daniel Sperling,Anders Olsen,Stan Birdsong,0.695652174
117,Atlanta Hustle,AUDL 2018,Sperling,Daniel Sperling,Daniel Sperling,Anders Olsen,Trenton Spinks,0.695652174
118,Atlanta Hustle,AUDL 2016,Staber,Karl Staber,Karl Staber,Sam Gainer,Stan Birdsong,0.705882353
119,Atlanta Hustle,AUDL 2017,Staber,Karl Staber,Karl Staber,Sam Gainer,Stan Birdsong,0.705882353
120,Atlanta Hustle,AUDL 2016,Sun,Sun Choi,Sun Choi,JP Burns,Sean Sears,0.545454545
