,PlayerName,Tournament,TeamAbbrev,Teamname
0,Aaron Bacon,AUDL 2014,CIN,Cincinnati Revolution
1,Aaron Bell,AUDL 2013,NY,New York Empire
2,Aaron Buss,AUDL 2017,PIT,Pittsburgh Thunderbirds
3,Aaron Buss,AUDL 2016,PIT,Pittsburgh Thunderbirds
4,Aaron Corley,AUDL 2014,CIN,Cincinnati Revolution
5,Aaron Corley,AUDL 2013,CIN,Cincinnati Revolution
6,Aaron Corley,AUDL 2012,CIN,Cincinnati Revolution
7,Aaron Del Real,AUDL 2017,DET,Detroit Mechanix
8,Aaron Del Real,AUDL 2016,DET,Detroit Mechanix
9,Aaron Del Real,AUDL 2015,DET,Detroit Mechanix
10,Aaron Del Real,AUDL 2012,DET,Detroit Mechanix
11,Aaron Langley,AUDL 2018,DC,DC Breeze
12,Aaron Richards,AUDL 2015,SF,San Francisco FlameThrowers
13,Aaron Roberts,AUDL 2017,PHI,Philadelphia Phoenix
14,Aaron Roberts,AUDL 2016,PHI,Philadelphia Phoenix
15,Aaron Roberts,AUDL 2015,PHI,Philadelphia Phoenix
16,Aaron Roberts,AUDL 2014,DC,DC Breeze
17,Aaron Schwartz,AUDL 2018,IND,Indianapolis AlleyCats
18,Aaron Schwartz,AUDL 2017,IND,Indianapolis AlleyCats
19,Aaron Schwartz,AUDL 2016,IND,Indianapolis AlleyCats
20,Aaron Schwartz,AUDL 2015,IND,Indianapolis AlleyCats
21,Aaron Shi,AUDL 2018,SJ,San Jose Spiders
22,Aaron Watson,AUDL 2017,PIT,Pittsburgh Thunderbirds
23,Aaron Watson,AUDL 2016,PIT,Pittsburgh Thunderbirds
24,Aaron Watson,AUDL 2015,PIT,Pittsburgh Thunderbirds
25,Aaron Weaver,AUDL 2018,LA,Los Angeles Aviators
26,Aaron Weaver,AUDL 2017,LA,Los Angeles Aviators
27,Aaron Ziegler,AUDL 2012,DET,Detroit Mechanix
28,Abe Coffin,AUDL 2017,DAL,Dallas Roughnecks
29,Abe Coffin,AUDL 2016,MAD,Madison Radicals
30,Adam Bostian,AUDL 2015,CHA,Charlotte Express
31,Adam Bronstein,AUDL 2016,LA,Los Angeles Aviators
32,Adam Bronstein,AUDL 2014,SEA,Seattle Raptors
33,Adam Brown,AUDL 2015,SJ,San Jose Spiders
34,Adam Burgess,AUDL 2018,ATL,Atlanta Hustle
35,Adam Carr,AUDL 2018,TB,Tampa Bay Cannons
36,Adam Choi,AUDL 2018,SEA,Seattle Cascades
37,Adam Drews,AUDL 2018,MAD,Madison Radicals
38,Adam Drews,AUDL 2017,MAD,Madison Radicals
39,Adam Drews,AUDL 2016,MAD,Madison Radicals
40,Adam Drews,AUDL 2015,MAD,Madison Radicals
41,Adam Drews,AUDL 2014,MAD,Madison Radicals
42,Adam Goldberg,AUDL 2015,PHI,Philadelphia Phoenix
43,Adam Johnston,AUDL 2012,RIR,Rhone Island Rampage
44,Adam Lapikas,AUDL 2018,TB,Tampa Bay Cannons
45,Adam O'Donnell,AUDL 2018,OTT,Ottawa Outlaws
46,Adam Paicely,AUDL 2016,NSH,Nashville NightWatch
47,Adam Raty,AUDL 2016,SF,San Francisco FlameThrowers
48,Adam Raty,AUDL 2015,SF,San Francisco FlameThrowers
49,Adam Raty,AUDL 2014,SF,San Francisco FlameThrowers
50,Adam Russell,AUDL 2017,TB,Jacksonville Cannons
51,Adam Russell,AUDL 2016,TB,Jacksonville Cannons
52,Adam Russell,AUDL 2015,CHA,Charlotte Express
53,Adam Simon,AUDL 2017,SEA,Seattle Cascades
