,Dallas Roughnecks,,Kurt,Gibson,Kurt Gibson,Kurt
4/1/17,Atlanta Hustle,Raleigh Flyers,Ryan,Archibald,Ryan Archibald,Archie
4/1/17,Atlanta Hustle,Raleigh Flyers,Evan,Boecking,Evan Boecking,Boecking
4/1/17,Atlanta Hustle,Raleigh Flyers,JP,Burns,JP Burns,JP Burns
4/1/17,Atlanta Hustle,Raleigh Flyers,Josh,Bush,Josh Bush,Bush
4/1/17,Atlanta Hustle,Raleigh Flyers,Sun,Choi,Sun Choi,Sun
4/1/17,Atlanta Hustle,Raleigh Flyers,Sam,Gainer,Sam Gainer,Gainer
4/1/17,Atlanta Hustle,Raleigh Flyers,Taylor,Goforth,Taylor Goforth,Tree
4/1/17,Atlanta Hustle,Raleigh Flyers,Nick,Hunter,Nick Hunter,Hunter
4/1/17,Atlanta Hustle,Raleigh Flyers,Allan,Laviolette,Allan Laviolette,Allan L
4/1/17,Atlanta Hustle,Raleigh Flyers,Max,Leonard,Max Leonard,Leonard
4/1/17,Atlanta Hustle,Raleigh Flyers,Christian,Olsen,Christian Olsen,C Olsen
4/1/17,Atlanta Hustle,Raleigh Flyers,Jaime,Perez,Jaime Perez,Jaime
4/1/17,Atlanta Hustle,Raleigh Flyers,Sean,Sears,Sean Sears,Sears
4/1/17,Atlanta Hustle,Raleigh Flyers,Matt,Smith,Matt Smith,M Smith
4/1/17,Atlanta Hustle,Raleigh Flyers,Trenton,Spinks,Trenton Spinks,Trenton
4/1/17,Atlanta Hustle,Raleigh Flyers,Kyle,Stapleton,Kyle Stapleton,Kyle S
4/1/17,Atlanta Hustle,Raleigh Flyers,Austin,Taylor,Austin Taylor,A Taylor
4/1/17,Atlanta Hustle,Raleigh Flyers,Josh,Turner,Josh Turner,Thor
4/1/17,Atlanta Hustle,Raleigh Flyers,Nathan,Vickroy,Nathan Vickroy,Vickroy
4/1/17,Atlanta Hustle,Raleigh Flyers,Kelvin,Williams,Kelvin Williams,Kelvin
4/1/17,Austin Sol,Dallas Roughnecks,Victor,Bautista,Victor Bautista,Victor Bautista Gonzalez
4/1/17,Austin Sol,Dallas Roughnecks,Mitchell,Bennett,Mitchell Bennett,Mitchell Bennett
