,Year,Matchup Link,Date Location,Home Team,Away Team,Home Team Score,Away Team Score,Date,Time,City,Week,UniversalGameID
0,2012,/league/game/2012-04-14-IND-CLB,"Sat, 4/14 7:00 PM CDT Columbus",Columbus Cranes,Indianapolis AlleyCats,22,21,2012-04-14,7:00 PM CDT,Columbus,1,0
1,2012,/league/game/2012-04-14-ROC-PHS,"Sat, 4/14 7:00 PM CDT Philadelphia",Philadelphia Spinners,Rochester Dragons,26,14,2012-04-14,7:00 PM CDT,Philadelphia,1,1
2,2012,/league/game/2012-04-14-DET-CIN,"Sat, 4/14 7:00 PM CDT Cincinnati",Cincinnati Revolution,Detroit Mechanix,19,17,2012-04-14,7:00 PM CDT,Cincinnati,1,2
3,2012,/league/game/2012-04-14-CON-RIR,"Sat, 4/14 7:00 PM CDT Rhode Island",Rhode Island Rampage,Connecticut Constitution,23,29,2012-04-14,7:00 PM CDT,Rhode Island,1,3
4,2012,/league/game/2012-04-21-RIR-CLB,"Sat, 4/21 7:00 PM CDT Columbus",Columbus Cranes,Rhode Island Rampage,19,22,2012-04-21,7:00 PM CDT,Columbus,2,4
5,2012,/league/game/2012-04-21-CIN-IND,"Sat, 4/21 7:00 PM CDT Indianapolis",Indianapolis AlleyCats,Cincinnati Revolution,18,20,2012-04-21,7:00 PM CDT,Indianapolis,2,5
6,2012,/league/game/2012-04-21-CON-PHS,"Sat, 4/21 7:00 PM CDT Philadelphia",Philadelphia Spinners,Connecticut Constitution,22,16,2012-04-21,7:00 PM CDT,Philadelphia,2,6
7,2012,/league/game/2012-04-22-RIR-DET,"Sun, 4/22 7:00 PM CDT Detroit",Detroit Mechanix,Rhode Island Rampage,24,26,2012-04-22,7:00 PM CDT,Detroit,2,7
8,2012,/league/game/2012-04-28-CLB-CIN,"Sat, 4/28 7:00 PM CDT Cincinnati",Cincinnati Revolution,Columbus Cranes,12,8,2012-04-28,7:00 PM CDT,Cincinnati,3,9
9,2012,/league/game/2012-04-28-PHS-RIR,"Sat, 4/28 7:00 PM CDT Rhode Island",Rhode Island Rampage,Philadelphia Spinners,22,30,2012-04-28,7:00 PM CDT,Rhode Island,3,8
