,team,PlayerName,Tournament,Teamname
0,radicals,Adam Drews,AUDL 2018,Madison Radicals
1,radicals,Andrew Meshnick,AUDL 2018,Madison Radicals
2,radicals,Seth Meyer,AUDL 2018,Madison Radicals
3,radicals,Pat Shriwise,AUDL 2018,Madison Radicals
4,radicals,Avery Johnson,AUDL 2018,Madison Radicals
5,radicals,Tom Annen,AUDL 2018,Madison Radicals
6,radicals,Benjy Keren,AUDL 2018,Madison Radicals
7,radicals,Joshua Wilson,AUDL 2018,Madison Radicals
8,radicals,David Meinecke,AUDL 2018,Madison Radicals
9,radicals,Andrew Brown,AUDL 2018,Madison Radicals
10,radicals,Scott Richgels,AUDL 2018,Madison Radicals
11,radicals,Logan Pruess,AUDL 2018,Madison Radicals
12,radicals,Matt Weber,AUDL 2018,Madison Radicals
13,radicals,Chris Wilen,AUDL 2018,Madison Radicals
14,radicals,Nate Bosscher,AUDL 2018,Madison Radicals
15,radicals,Sterling Knoche,AUDL 2018,Madison Radicals
16,radicals,Glenn Poole,AUDL 2018,Madison Radicals
17,radicals,Dave Wiseman,AUDL 2018,Madison Radicals
18,radicals,Sef van Kan,AUDL 2018,Madison Radicals
19,radicals,Kyle Weigand,AUDL 2018,Madison Radicals
20,radicals,Ryan Tucker,AUDL 2018,Madison Radicals
21,radicals,Peter Graffy,AUDL 2018,Madison Radicals
22,radicals,Anson Reppermund,AUDL 2018,Madison Radicals
23,radicals,Colin Camp,AUDL 2018,Madison Radicals
24,radicals,Jacob Spiro,AUDL 2018,Madison Radicals
25,radicals,Jeff Maskalunas,AUDL 2018,Madison Radicals
26,radicals,Marquis Mason,AUDL 2018,Madison Radicals
27,radicals,Victor Luo,AUDL 2018,Madison Radicals
28,radicals,Chase Marty,AUDL 2018,Madison Radicals
29,radicals,Robyn Wiseman,AUDL 2018,Madison Radicals
30,radicals,Thomas Coolidge,AUDL 2018,Madison Radicals
31,radicals,Tarik Akyuz,AUDL 2018,Madison Radicals
32,radicals,Ben Nelson,AUDL 2018,Madison Radicals
33,radicals,Elliot Mawby,AUDL 2018,Madison Radicals
34,radicals,Colin Grandon,AUDL 2018,Madison Radicals
35,radicals,Jack Kelly,AUDL 2018,Madison Radicals
36,radicals,Kevin Pettit-Scantling,AUDL 2018,Madison Radicals
37,radicals,Kevin Brown,AUDL 2018,Madison Radicals
38,aviators,Ted Barnett,AUDL 2018,Los Angeles Aviators
39,aviators,Michael Kiyoi,AUDL 2018,Los Angeles Aviators
40,aviators,Josiah Mort,AUDL 2018,Los Angeles Aviators
41,aviators,Brent George,AUDL 2018,Los Angeles Aviators
42,aviators,Ryan Lepore,AUDL 2018,Los Angeles Aviators
43,aviators,Steven Brooks,AUDL 2018,Los Angeles Aviators
44,aviators,Andrew Padula,AUDL 2018,Los Angeles Aviators
45,aviators,Mark Elbogen,AUDL 2018,Los Angeles Aviators
46,aviators,Tom Doi,AUDL 2018,Los Angeles Aviators
47,aviators,Sean McDougall,AUDL 2018,Los Angeles Aviators
48,aviators,Alex Drum,AUDL 2018,Los Angeles Aviators
49,aviators,Andrew McRae,AUDL 2018,Los Angeles Aviators
50,aviators,Mitchell Steiner,AUDL 2018,Los Angeles Aviators
51,aviators,Zach Theodore,AUDL 2018,Los Angeles Aviators
52,aviators,Aaron Weaver,AUDL 2018,Los Angeles Aviators
53,aviators,Jeffrey Silverman,AUDL 2018,Los Angeles Aviators
54,aviators,Caleb Ferguson,AUDL 2018,Los Angeles Aviators
55,aviators,Zac Schakner,AUDL 2018,Los Angeles Aviators
56,aviators,Matt Theologidy,AUDL 2018,Los Angeles Aviators
57,aviators,Timothy Beatty,AUDL 2018,Los Angeles Aviators
58,aviators,Nate Ransom,AUDL 2018,Los Angeles Aviators
59,aviators,Sam Plasman,AUDL 2018,Los Angeles Aviators
60,aviators,Stephanie Pritchard,AUDL 2018,Los Angeles Aviators
61,aviators,Jacob Bartholomew,AUDL 2018,Los Angeles Aviators
62,aviators,Chris Mazur,AUDL 2018,Los Angeles Aviators
63,aviators,Eric Lissner,AUDL 2018,Los Angeles Aviators
64,aviators,Eli Friedman,AUDL 2018,Los Angeles Aviators
65,aviators,Tyler Bacon,AUDL 2018,Los Angeles Aviators
66,aviators,Allen Lai,AUDL 2018,Los Angeles Aviators
67,aviators,Brandon Severson,AUDL 2018,Los Angeles Aviators
68,aviators,Jesse Cohen,AUDL 2018,Los Angeles Aviators
69,aviators,Ronnie Eder,AUDL 2018,Los Angeles Aviators
