Teamname,Place,Nickname,Team Abv,Division,Active,Last Active,Inaugurated,Formerly,Roster URL,Stadium,City,State,Country
Atlanta Hustle,Atlanta,Hustle,ATL,Atlantic,TRUE,,2015,,http://theaudl.com/hustle,Atlanta Silverbacks Park,Atlanta,Georgia,United States
Austin Sol,Austin,Sol,AUS,West,TRUE,,2016,,http://theaudl.com/sol,House Park,Austin,Texas,United States
Charlotte Express,Charlotte,Express,CHA,,FALSE,2016,2015,,,Irwin Belk Complex,Charlotte,North Carolina,United States
Chicago Wildfire,Chicago,WildFire,CHI,Central,TRUE,,2013,Windy City Wildfire,http://theaudl.com/wildfire,,Chicago,Illinois,United States
Cincinnati Revolution,Cincinnati,Revolution,CIN,,FALSE,2016,2013,Bluegrass Revolution,,Sheakley Athletic Center,Cincinnati,Ohio,United States
Bluegrass Revolution,Lexington,Bluegrass Revolution,LEX,,FALSE,2012,2012,,,Henry Clay High School's Jack Bell Stadium,Lexington,Kentucky,United States
Columbus Cranes,Columbus,Cranes,COL,,FALSE,2012,2012,,,Warhawks Stadium,Columbus,Ohio,United States
Connecticut Constitution,Connecticut,Constitution,CON,,FALSE,2012,2012,,,Arute Field,New Haven,Connecticut,United States
Dallas Roughnecks,Dallas,Roughnecks,DAL,West,TRUE,,2016,,http://theaudl.com/roughnecks,,Dallas,Texas,United States
DC Breeze,DC,Breeze,DC,Atlantic,TRUE,,2013,,http://theaudl.com/breeze,,Washington,District of Columbia,United States
Detroit Mechanix,Detroit,Mechanix,DET,Central,TRUE,,2012,,http://theaudl.com/mechanix,,Detroit,Michigan,United States
Indianapolis AlleyCats,Indianapolis,AlleyCats,IND,Central,TRUE,,2012,,http://theaudl.com/alleycats,,Indianapolis,Indiana,United States
Jacksonville Cannons,Jacksonville,Cannons,JAX,,FALSE,2017,2015,,http://theaudl.com/cannons,,Jacksonville,Florida,United States
Los Angeles Aviators,Los Angeles,Aviators,LA,West,TRUE,,2015,,http://theaudl.com/aviators,,Los Angeles,California,United States
Madison Radicals,Madison,Radicals,MAD,Central,TRUE,,2013,,http://theaudl.com/radicals,,Madison,Wisconsin,United States
Minnesota Wind Chill,Minnesota,Wind Chill,MIN,Central,TRUE,,2013,,http://theaudl.com/windchill,,Minneapolis,Minnesota,United States
Montreal Royal,Montreal,Royal,MTL,East,TRUE,,2014,,http://theaudl.com/royal,,Montreal,Quebec,Canada
Nashville NightWatch,Nashville,Nightwatch,NSH,,FALSE,2018,2015,,http://theaudl.com/nightwatch,Hunters Lane High School,Nashville,Tennessee,United States
New Jersey Hammerheads,New Jersey,Hammerheads,NJ,,FALSE,2013,2013,,,Mercer County Community College Stadium,Princeton,New Jersey,United States
New York Empire,New York,Empire,NY,East,TRUE,,2013,,http://theaudl.com/empire,,New York,New York,United States
Ottawa Outlaws,Ottawa,Outlaws,OTT,East,TRUE,,2015,,http://theaudl.com/outlaws,,Ottawa,Ontario,Canada
Philadelphia Phoenix,Philadelphia,Phoenix,PHI,Atlantic,TRUE,,2013,,http://theaudl.com/phoenix,,Philadelphia,Pennsylvania,United States
Philadelphia Spinners,Philadelphia,Spinners,PHS,,FALSE,2012,2012,,,Franklin Field,Philadelphia,Pennsylvania,United States
Pittsburgh Thunderbirds,Pittsburgh,Thunderbirds,PIT,Atlantic,TRUE,,2015,,http://theaudl.com/thunderbirds,,Pittsburgh,Pennsylvania,United States
Raleigh Flyers,Raleigh,Flyers,RAL,Atlantic,TRUE,,2015,,http://theaudl.com/flyers,,Raleigh,North Carolina,United States
Rhode Island Rampage,Rhode Island,Rampage,RIR,,FALSE,2012,2012,,,Pierce Memorial Field,Providence,Rhode Island,United States
Rochester Dragons,Rochester,Dragons,ROC,,FALSE,2015,2013,Buffalo Hunters,,,Rochester,New York,United States
Salt Lake Lions,Salt Lake City,Lions,SLC,,FALSE,2014,2014,,,,Salt Lake City,Utah,United States
San Diego Growlers,San Diego,Growlers,SD,West,TRUE,,2015,,http://theaudl.com/growlers,Balboa Stadium,San Diego,California,United States
San Francisco FlameThrowers,San Francisco,Flamethrowers,SF,,FALSE,2018,2013,,http://theaudl.com/flamethrowers,Laney College Football Field,San Francisco,California,United States
San Jose Spiders,San Jose,Spiders,SJ,West,TRUE,,2014,,http://theaudl.com/spiders,,San Jose,California,United States
Seattle Cascades,Seattle,Cascades,SEA,West,TRUE,,2015,Seattle Raptors,http://theaudl.com/cascades,,Seattle,Washington,United States
Seattle Raptors,Seattle,Raptors,SEA,,FALSE,2014,2014,,,,Seattle,Washington,United States
Tampa Bay Cannons,Tampa Bay,Cannons,TB,Atlantic,TRUE,,2018,Jacksonville Cannons,http://theaudl.com/cannons,,Tampa,Florida,United States
Toronto Rush,Toronto,Rush,TOR,East,TRUE,,2013,,http://theaudl.com/rush,,Toronto,Ontario,Canada
Vancouver Riptide,Vancouver,Riptide,VAN,,FALSE,2017,2014,,,Swangard Stadium,Vancouver,British Columbia,Canada
Buffalo Hunters,Buffalo,Hunters,BUF,,FALSE,2012,2012,,,,Buffalo,New York,United States
Boston Glory,Boston,Glory,BOS,East,TRUE,,2020,,https://theaudl.com/glory,,Boston,Massachusetts,United States
