,Teamname,Name,FirstName,LastName
0,Atlanta Hustle,Daniel Sperling,Daniel,Sperling
1,Atlanta Hustle,Will Lindquist,Will,Lindquist
2,Atlanta Hustle,Austin Taylor,Austin,Taylor
3,Atlanta Hustle,Matthew Knowles,Matthew,Knowles
4,Atlanta Hustle,Player Pierce,Player,Pierce
5,Atlanta Hustle,John Boezi,John,Boezi
6,Atlanta Hustle,Brett Hulsmeyer,Brett,Hulsmeyer
7,Atlanta Hustle,Zack Avello,Zack,Avello
8,Atlanta Hustle,Christian Olsen,Christian,Olsen
9,Atlanta Hustle,Javier Ortiz,Javier,Ortiz
10,Atlanta Hustle,Robert Hunt,Robert,Hunt
11,Atlanta Hustle,Kelvin Williams,Kelvin,Williams
12,Atlanta Hustle,Matt Smith,Matt,Smith
13,Atlanta Hustle,Carter Rae,Carter,Rae
14,Atlanta Hustle,Taylor Minch,Taylor,Minch
15,Atlanta Hustle,Phil Dougherty,Phil,Dougherty
16,Atlanta Hustle,Anders Olsen,Anders,Olsen
17,Atlanta Hustle,Jacques Perivier,Jacques,Perivier
18,Atlanta Hustle,Hayden Austin-Knab,Hayden,Austin-Knab
19,Atlanta Hustle,Josh Bush,Josh,Bush
20,Atlanta Hustle,Alex Trautman,Alex,Trautman
21,Atlanta Hustle,Paul Lally,Paul,Lally
22,Atlanta Hustle,Sun Choi,Sun,Choi
23,Atlanta Hustle,Joel Wooten,Joel,Wooten
24,Atlanta Hustle,Christian Gaeta,Christian,Gaeta
25,Atlanta Hustle,Karl Ekwurtzel,Karl,Ekwurtzel
26,Atlanta Hustle,Josh Turner,Josh,Turner
27,Atlanta Hustle,Devon Rogers,Devon,Rogers
28,Atlanta Hustle,Will Frolich,Will,Frolich
29,Atlanta Hustle,Coleman Tappero,Coleman,Tappero
30,Atlanta Hustle,Jason Crowe,Jason,Crowe
31,Atlanta Hustle,Jaime Perez,Jaime,Perez
32,Atlanta Hustle,William Johnson,William,Johnson
33,Atlanta Hustle,Eli Jaime,Eli,Jaime
34,Atlanta Hustle,David Petmecky,David,Petmecky
35,Atlanta Hustle,Jeffery Minowa,Jeffery,Minowa
36,Atlanta Hustle,Sam Batson,Sam,Batson
37,Atlanta Hustle,Trenton Spinks,Trenton,Spinks
38,Atlanta Hustle,Mac McClellan,Mac,McClellan
39,Austin Sol,Mitchell Bennett,Mitchell,Bennett
40,Austin Sol,John Cecil,John,Cecil
41,Austin Sol,Matt Bennett,Matt,Bennett
42,Austin Sol,Michael Matthis,Michael,Matthis
43,Austin Sol,Reese Bowman,Reese,Bowman
44,Austin Sol,Jeff Loskorn,Jeff,Loskorn
45,Austin Sol,Eric Brodbeck,Eric,Brodbeck
46,Austin Sol,Jason Holleran,Jason,Holleran
47,Austin Sol,Matthew Bierschenk,Matthew,Bierschenk
48,Austin Sol,Joshua Zdrodowski,Joshua,Zdrodowski
49,Austin Sol,Corey Mika,Corey,Mika
50,Austin Sol,Jimmy Zuraw,Jimmy,Zuraw
51,Austin Sol,Andrew Walch,Andrew,Walch
52,Austin Sol,Carter Hollo,Carter,Hollo
53,Austin Sol,Jerrod Wolfe,Jerrod,Wolfe
54,Austin Sol,Mason Wuensch,Mason,Wuensch
55,Austin Sol,Derek Fan,Derek,Fan
56,Austin Sol,Mutahir Ahmad,Mutahir,Ahmad
57,Austin Sol,Ethan Pollack,Ethan,Pollack
58,Austin Sol,Chase Cunningham,Chase,Cunningham
59,Austin Sol,Elliott Moore,Elliott,Moore
60,Austin Sol,Keivaun Waugh,Keivaun,Waugh
61,Austin Sol,Kyle Henke,Kyle,Henke
62,Austin Sol,Rory Orloff,Rory,Orloff
63,Austin Sol,Brian Gfroerer,Brian,Gfroerer
64,Austin Sol,Mick Walter,Mick,Walter
65,Austin Sol,Brandon Dial,Brandon,Dial
66,Austin Sol,Mike Cramer,Mike,Cramer
67,Austin Sol,Austin Walker,Austin,Walker
68,Austin Sol,Zachary Cotter,Zachary,Cotter
69,Austin Sol,Paul Starkel,Paul,Starkel
70,Austin Sol,Ryan Purcell,Ryan,Purcell
71,Austin Sol,Doug Richardson,Doug,Richardson
72,Austin Sol,Robert Lewis,Robert,Lewis
73,Chicago Wildfire,Jesse Johnson,Jesse,Johnson
74,Chicago Wildfire,Kurt Gibson,Kurt,Gibson
75,Chicago Wildfire,Michael Egan,Michael,Egan
76,Chicago Wildfire,Seth Weaver,Seth,Weaver
77,Chicago Wildfire,Brad Bolliger,Brad,Bolliger
78,Chicago Wildfire,Matt Rehder,Matt,Rehder
79,Chicago Wildfire,David Woods,David,Woods
80,Chicago Wildfire,Jesse White,Jesse,White
81,Chicago Wildfire,Jeff Weis,Jeff,Weis
82,Chicago Wildfire,Von Alanguilan,Von,Alanguilan
83,Chicago Wildfire,Nate Goff,Nate,Goff
84,Chicago Wildfire,Jeremy Burril,Jeremy,Burril
85,Chicago Wildfire,Judah Newman,Judah,Newman
86,Chicago Wildfire,Drew Swanson,Drew,Swanson
87,Chicago Wildfire,Tommy Gallagher,Tommy,Gallagher
88,Chicago Wildfire,Jack Shanahan,Jack,Shanahan
89,Chicago Wildfire,Joey Kennedy,Joey,Kennedy
90,Chicago Wildfire,Nick Zeman,Nick,Zeman
91,Chicago Wildfire,Cal Tornabene,Cal,Tornabene
92,Chicago Wildfire,David Meinecke,David,Meinecke
93,Chicago Wildfire,Alex Rummelhart,Alex,Rummelhart
94,Chicago Wildfire,Michael Pardo,Michael,Pardo
95,Chicago Wildfire,Ross Barker,Ross,Barker
96,Chicago Wildfire,Zane Rankin,Zane,Rankin
97,Chicago Wildfire,Karl Kingma,Karl,Kingma
98,Chicago Wildfire,Dan Miller,Dan,Miller
99,Chicago Wildfire,Jeff Holm,Jeff,Holm
100,Chicago Wildfire,Tim Fergus,Tim,Fergus
101,Chicago Wildfire,James Sykora,James,Sykora
102,Chicago Wildfire,Brenton Hard,Brenton,Hard
103,Chicago Wildfire,Pawel Janas,Pawel,Janas
104,Chicago Wildfire,Jason Vallee,Jason,Vallee
105,Chicago Wildfire,Zubair Abdulla,Zubair,Abdulla
106,Chicago Wildfire,CJ O'Brien,CJ,O'Brien
107,Chicago Wildfire,Charlie Furse,Charlie,Furse
108,Dallas Roughnecks,Brandon Malecek,Brandon,Malecek
109,Dallas Roughnecks,Griffin Miller,Griffin,Miller
110,Dallas Roughnecks,Kaplan Maurer,Kaplan,Maurer
111,Dallas Roughnecks,Matt Jackson,Matt,Jackson
112,Dallas Roughnecks,Sam Ward,Sam,Ward
113,Dallas Roughnecks,Jay Froude,Jay,Froude
114,Dallas Roughnecks,Jake Reinhardt,Jake,Reinhardt
115,Dallas Roughnecks,Ben Lewis,Ben,Lewis
116,Dallas Roughnecks,Abe Coffin,Abe,Coffin
117,Dallas Roughnecks,Joel Clutton,Joel,Clutton
118,Dallas Roughnecks,Alex Brouwer,Alex,Brouwer
119,Dallas Roughnecks,Dillon Larberg,Dillon,Larberg
120,Dallas Roughnecks,Dalton Smith,Dalton,Smith
121,Dallas Roughnecks,Stephen Poulos,Stephen,Poulos
122,Dallas Roughnecks,Abe Gambert,Abe,Gambert
123,Dallas Roughnecks,Chris Larberg,Chris,Larberg
124,Dallas Roughnecks,Daniel Emmons,Daniel,Emmons
125,Dallas Roughnecks,Kevin Richardson,Kevin,Richardson
126,Dallas Roughnecks,Casey Hogg,Casey,Hogg
127,Dallas Roughnecks,Zach Riggins,Zach,Riggins
128,Dallas Roughnecks,Connor Olson,Connor,Olson
129,Dallas Roughnecks,Wesley Miaw,Wesley,Miaw
130,Dallas Roughnecks,Connor Ughetta,Connor,Ughetta
131,Dallas Roughnecks,Carson Wilder,Carson,Wilder
132,Dallas Roughnecks,Noah Chambers,Noah,Chambers
133,Dallas Roughnecks,Thomas Slack,Thomas,Slack
134,Dallas Roughnecks,Gabriel Hernandez,Gabriel,Hernandez
135,Dallas Roughnecks,Kai Marshall,Kai,Marshall
136,Dallas Roughnecks,Henry Furuta,Henry,Furuta
137,Dallas Roughnecks,Brian Street,Brian,Street
138,Dallas Roughnecks,Jonathan Costello,Jonathan,Costello
139,Dallas Roughnecks,Matthew Armour,Matthew,Armour
140,Dallas Roughnecks,Zach Marbach,Zach,Marbach
141,Dallas Roughnecks,Ben Rogers,Ben,Rogers
142,Dallas Roughnecks,David Hammer,David,Hammer
