team,team abbrev,url,,,,,year,active
New York Gridlock,NY,https://www.ultianalytics.com/app/#/5135813138448384/players,,,,,2019,TRUE
Medellin Revolution,MED,https://www.ultianalytics.com/app/#/5715522607906816/players,,,,,2019,TRUE
Medellin Revolution,MED,https://www.ultianalytics.com/app/#/5633143943987200/players,,,,,2019,FALSE
Austin Torch,AUS,https://www.ultianalytics.com/app/#/4923695139127296/players,,,,,2019,FALSE
Austin Torch,AUS,https://www.ultianalytics.com/app/#/5065933081018368/players,,,,,2019,TRUE
Atlanta Soul,ATL,https://www.ultianalytics.com/app/#/6479513588334592/players,,,,,2019,TRUE
Columbus Pride,COL,https://www.ultianalytics.com/app/#/5948275475611648/players,,,,,2019,TRUE
Indy Red,IND,https://www.ultianalytics.com/app/#/5724174228127744/players,,,,,2019,FALSE
Indy Red,IND,https://www.ultianalytics.com/app/#/4843857535565824/players,,,,,2019,TRUE
Raleigh Radiance,RAL,https://www.ultianalytics.com/app/#/5489828200185856/players,,,,,2019,TRUE
Raleigh Radiance,RAL,https://www.ultianalytics.com/app/#/6381142026485760/players,,,,,2019,FALSE
Nashville Nightshade,NSH,https://www.ultianalytics.com/app/#/4538790806814720/players,,,,,2019,TRUE
Nashville Nightshade,NSH,https://www.ultianalytics.com/app/#/4505822973394944/players,,,,,2019,FALSE
