,Year,Teamname,Username,PlayerName
82,2019,Columbus Pride,?,Anonymous
83,2019,Columbus Pride,??,Anonymous
84,2019,Columbus Pride,???,Anonymous
85,2019,Columbus Pride,????,Anonymous
54,2019,Austin Torch,A Broome,Amy Broome
204,2019,New York Gridlock,A DeSaba,Andrea DeSabato
126,2019,Indy Red,A Farnko,Ashley Farnkopf
55,2019,Austin Torch,A Foster,Anastasia Foster
175,2019,Nashville Nightshade,A Hewitt,Abbey Hewitt
1,2019,Atlanta Soul,A Lin,Angela Lin
231,2019,Raleigh Radiance,A Murphy,Amanda Murphy
205,2019,New York Gridlock,A Newsom,Abbey Newsome
56,2019,Austin Torch,A Ortiz,Annie Ortiz
2,2019,Atlanta Soul,A Palmer,Anraya Palmer
86,2019,Columbus Pride,A Peters,Annelise Peters
232,2019,Raleigh Radiance,A Powell,Ashley Powell
127,2019,Indy Red,A Prucha,Austin Prucha
176,2019,Nashville Nightshade,A Raspa,Alyssa Raspa
233,2019,Raleigh Radiance,A Robbin,Alix Robbins
152,2019,Medellin Revolution,A Rojas,Ana Rojas
177,2019,Nashville Nightshade,A Schlab,Amy Schlabach
57,2019,Austin Torch,A Shelor,Ashley Shelor
3,2019,Atlanta Soul,A Smith,A Smith
153,2019,Medellin Revolution,A Torres,Alejandra Torres
154,2019,Medellin Revolution,A Uribe,Alejandra Uribe
87,2019,Columbus Pride,A Wetli,Alaine Wetli
234,2019,Raleigh Radiance,A Worth,Anne Worth
206,2019,New York Gridlock,A Zhou,Amy Zhou
235,2019,Raleigh Radiance,A. Murph,Amanda Murphy
236,2019,Raleigh Radiance,A. Powel,Ashley Powell
237,2019,Raleigh Radiance,A. Robbi,Alix Robbins
238,2019,Raleigh Radiance,A. Worth,Anne Worth
129,2019,Indy Red,B Ballar,Brittney Ballard
59,2019,Austin Torch,B Eberha,Bethani Eberhart
60,2019,Austin Torch,B Forth,Bex Forth
130,2019,Indy Red,B Harris,Briana Harrison
208,2019,New York Gridlock,B Kaplan,Brittany Kaplan
179,2019,Nashville Nightshade,B LeClea,Brielle Le Clear
240,2019,Raleigh Radiance,B Mizene,Bridget Mizener
209,2019,New York Gridlock,B Tucker,Becca Tucker
241,2019,Raleigh Radiance,B Widmay,Becky Widmayer
131,2019,Indy Red,B Winner,Brittany Winner
242,2019,Raleigh Radiance,B. Mizen,Bridget Mizener
243,2019,Raleigh Radiance,B. Widma,Becky Widmayer
244,2019,Raleigh Radiance,BookhouC,Christine Bookhout
156,2019,Medellin Revolution,C Arcila,Carolina Arcila
180,2019,Nashville Nightshade,C Bidiga,Claire Bidigare-Curtis
245,2019,Raleigh Radiance,C Bookho,Christine Bookhout
246,2019,Raleigh Radiance,C Bunch,CJ Bunch
157,2019,Medellin Revolution,C Carden,Calise Cardenas
158,2019,Medellin Revolution,C Chasta,Claire Chastain
61,2019,Austin Torch,C Crouch,Cara Crouch
89,2019,Columbus Pride,C Duffne,Caitlin Duffner
210,2019,New York Gridlock,C Leeder,Chelsea Leeder
90,2019,Columbus Pride,C Lim,Chloe Lim
159,2019,Medellin Revolution,C London,Carolina Londono
91,2019,Columbus Pride,C Pruitt,Corinn Pruitt
132,2019,Indy Red,C Schwab,Claire Schwaba
