,Year,Week,Team,Actives
0,2019,1,Atlanta Hustle,Sam Batson; Sun Choi; Karl Ekwurtzel; Brett Hulsmeyer; Elijah Jaime; Matthew Knowles; Paul Lally**; Will Lindquist**; Mac McClellan; Taylor Minch; Javier Ortiz; Player Pierce**; Devon Rogers; Matt Smith; Trenton Spinks; Austin Taylor; Alex Trautman; Josh Turner; Kelvin Williams; Joel Wooten
1,2019,1,Austin Sol,Matthew Bennett; Michael Cramer; Chase Cunningham; Brandon Dial; Brian Gfroerer; Kyle Henke; Jason Holleran; Carter Hollo; Robert Lewis; Jeff Loskorn; Wuensch Mason; Michael Matthis; Rory Orloff; Ryan Purcell; Doug Richardson; Andrew Walch; John Walter; Jerrod Wolfe; Joshua Zdrodowski; Jimmy Zuraw
2,2019,1,Dallas Roughnecks,Matthew Armour; Noah Chambers; Joel Clutton; Abe Coffin; Dan Emmons; Jay Froude; Henry Furuta; Dillon Larberg; Ben Lewis; Brandon Malecek; Zach Marbach; Kai Marshall; Kaplan Maurer; Griffin Miller; Connor Olson; Stephen Poulos; Jake Reinhardt; Thomas Slack; Dalton Smith; Carson Wilder
3,2019,1,Los Angeles Aviators,Tyler Bacon; Tim Beatty; Kyle Conniff; Alex Drum; Collin Gall; Joc Jimenez; Michael Kiyoi; Ryan Lepore; Eric Lissner; Sean McDougall; Sam Plasman; Nate Ransom; Garrett Santi; Zac Schakner; Jeff Silverman; Ryan Smith; Mitchell Steiner; Zachary Theodore; Matt Theologidy; Aaron Weaver
4,2019,1,Raleigh Flyers,Kiron Allen; Jacob Fairfax; Henry Fisher; Mischa Freystaetter; Josh Hartzog; JD Hastings; Allan Laviolette; Johnnie Lynch; Tim McAllister; Andrew McKelvey; Terrence Mitchell; Jacob Mouw; Charlie Muniz ; Jeff Nordgren; Jakeem Polk; David Richardson; Noah Saul; Eric Taylor; Ross Ward; Sol Yanuck
5,2019,1,San Diego Growlers,Nathan Bridges; Travis Dunn; Sam Fontaine; Wesley Groth; Jake Gutkowski; Sean Ham; Jonathan Helton; Maxwell Hume; Andrew Kohl; Joshua Kohl; Mark (Dom) Leggio; Steven Milardovich; Marcel Osborne; Trevor Purdy; Scott Radlauer; Ryo Senda**; Mark Slader; Michael Tran; William Turner; Bailey Wu
6,2019,1,San Jose Spiders,Chuck Cao; Steven Chang; Matt Crawford; Antoine Davis; Ethan Falat; Brandon Fein; Lior Givol; Jacob Greenberg; Keenan Laurence; Ben Levinsky; Justin Norden; Alex Pan; Mark Philipson; Brian Roach; Marcelo Sanchez; Earley Shane; Jackson Stearns; Gabe Taylor; Munis Thahir; Robert Yeagle
7,2019,1,Seattle Cascades,Jesse Bolton; Jay Boychuk; Jack Brown; Mark Burton; Dennis Casio; Zhi Chen; William Coffin; Charlie Eide; Khalif El-Salaam; Kahyee Fong**; Peter Geertz-Larson; Brad Houser; Thomas Lassetter; Steph Lim; Nick Mahan**; Marc Munoz; Henry Phan; Kodi Smart; Keegan Taggart; Shane Worthington**
8,2019,1,Tampa Bay Cannons,Craig Anderson; Alex Bullock; Adam Carr; Ryan Chard; Jacob Clary; James Franklin; Ryan Hiser; Jack Kern; Josh Layton; Tim Lootens; Billy O'Bryan; Unmil Patel; Bobby Patterson; Brandon Perales; Tanner Repasky; Andrew Roney; Bradley Seuntjens; Dustin Travaglini; Adam Vinson; Hayden Wachob
9,2019,2,Atlanta Hustle,Zach Avello; Josh Bush; Sun Choi; Jason Crowe; Karl Ekwurtzel; Brett Hulsmeyer; Elijah Jaime; Matthew Knowles; Paul Lally; Mac McClellan; Christian Olsen; Player Pierce; Carter Rae; Devon Rogers; Matt Smith; Trenton Spinks**; Austin Taylor; Alex Trautman; Josh Turner; Kelvin Williams
10,2019,2,Austin Sol,Matthew Bennett; Mitch Bennett; Matt Bierschenk; Eric Brodbeck; John Cecil; Michael Cramer; Brian Gfroerer; Kyle Henke; Robert Lewis; Jeff Loskorn; Michael Matthis; Rory Orloff; Ethan Pollack; Ryan Purcell; Doug Richardson; Austin Walker; John Walter; Mason Wuensch; Joshua Zdrodowski; Jimmy Zuraw
11,2019,2,Dallas Roughnecks,Matthew Armour; Alex Brouwer; Noah Chambers; Joel Clutton; Abe Coffin; Dan Emmons; Jay Froude; Abe Gambert; Matt Jackson; Ben Lewis; Kai Marshall; Kaplan Maurer; Wesley Miaw; Griffin Miller; Stephen  Poulos; Jake Reinhardt; Dalton Smith; Connor  Ughetta; Sam Ward; Carson Wilder
12,2019,2,DC Breeze,Jarrod Banks; Quinn Bergeron; David Bloodgood; Jay Boyle; Garrett Braun; Max Cassell**; Matt Cullom**; Kristopher Harrison; Cody Johnston; Xavier Maxstadt; Matthew McDonnell; Anthony McLean; Ray Mendoza; AJ Merriman; Matt Neeley; Houston Parks; Nathan Prior; David Shields; Kyle Vezina; Dane Warner
13,2019,2,Indianapolis AlleyCats,Cameron Brock; Peter Carleton; Travis Carpenter; Kyle Cox; Sam Ellison**; Rick Gross; Alex Henderson; Conner Henderson; David Hortemiller; Dusty Hughes; Nick Hutton; Levi Jacobs; Heath Kalaba; Spencer Loscar; Brett Matzuka; Chris Miller**; Keegan North; Keenan Plew; Colin Ringwood; Donovan Triplett
14,2019,2,Los Angeles Aviators,Tyler Bacon; Tim Beatty; Xavier Charles; Alex Drum; Collin Gall; Joc Jimenez; Nate Kirchhofer; Michael Kiyoi; Danny Landesman; Eric Lissner; Sean McDougall; Sam Plasman; Nate Ransom; Zachary Schakner; Jeff Silverman; Mitchell Steiner; Matt Theologidy; Zachary Theordore; Evan Valdez; Aarom Weaver
15,2019,2,Madison Radicals,Nate Bosscher; Kevin Brown; Colin Camp; Thomas Coolidge; Colin Grandon; Avery Johnson; Sterling Knoche; Michael Kobyra; Victor Luo; Chase Marty; Andrew Meshnick; Ben Nelson; Kevin Pettit-Scantling; Logan Pruess; Brett Robinson; Pat Shriwise; Daniel Vockeroth; Chris Wilen; Joshua Wilson; Dave Wiseman
16,2019,2,New York Empire,Albert Alarcon; Josue Alorro; Matthew Auletta; Jeff Babbitt; Ryan Brown; Marques Brownlee; Mike Drost; Ryan Drost; Harper Garvey; Alex Isik; Ben Jagt; Ben Katz**; Beau Kittredge; Conor Kline; Matt Lemar; Grant Lindsley; TJ Stanton; Matthew Stevens; Matthew Weintraub; Jack Williams
17,2019,2,Raleigh Flyers,Justin Allen ; Chuck Cantone; Andrew Cohen; Kamron Daftari; Jacob Fairfax; Henry Fisher; Mischa Freystaetter; Tristan Green; Allan Laviolette; Johnnie Lynch; Andrew McKelvey; Terrence Mitchell; Charlie Muniz ; Jakeem Polk; David Richardson; Noah Saul; Vikram Sethuraman; Eric Taylor; Ross Ward; Sol Yanuck
18,2019,2,San Diego Growlers,Travis Dunn; Sam Fontaine; Wesley Groth; Jake Gutkowski; Aidan Hall; Sean Ham; Jonathan Helton; Maxwell Hume; Joseph Huppert; Steven Milardovich; Marcel Osborne; Trevor Purdy; Scott Radlauer; David Ritchie; Kyle Rubin; Ryo Senda; Kyle Smith; Reggie Sung; William Turner; Bailey Wu
19,2019,2,San Jose Spiders,Chuck  Cao; Steven Chang; Matt Crawford; Antoine Davis; Shane Earley; Ethan Falat; Brandon Fein; Jacob Greenberg; Keenan Laurence; Ben Levinsky; Justin Norden; Mark Philipson; Cyrus Ready Campbell; Brian Roach; Marcelo Sanchez; Aaron  Shi; Jackson Stearns; Skylohr Taylor; Gabe Taylor; Munis Thahir
20,2019,3,Atlanta Hustle,"Zack Avello; Josh Bush; Sun Choi; Jason Crowe; Phillip Dougherty; Karl Ekwurtzel; Matthew Knowles; Mac McClellan; Christian Olsen; Javier Ortiz; Jaime Perez; Player Pierce; Carter Rae; Matt Smith; Trenton Spinks; Austin Taylor; Alex Trautman; Josh Turner; Kelvin Williams; Joel Wooten; Inactive: Elijah Jaime, Brett Hulsmeyer"
21,2019,3,Austin Sol,"Mitch Bennett; Matthew Bennett; Matt Bierschenk; Eric Brodbeck; John Cecil; Zach Cotter; Brian Gfroerer; Kyle Henke; Jason Holleran; Carter Hollo; Robert Lewis; Jeff Loskorn; Michael Matthis; Ethan Pollack; Doug Richardson; John Walter; Keivaun Waugh; Mason Wuensch; Joshua Zdrodowski; Jimmy Zuraw; Inactive: Rory Orloff, Ryan Purcell"
22,2019,3,Chicago Wildfire,Ross Barker; Jeremy Burril; Tommy Gallagher; Brenton Hard**; Pawel Janas; Jesse Johnson; Karl Kingma; David Meinecke; Danny Miller; Zane Rankin; Matt Rehder; Alex Rummelhart; Jack Shanahan; Drew Swanson; Jimmy Sykora; Cal Tornabene**; Seth Weaver; Jeff Weis; Dave Woods; Nick Zeman
23,2019,3,Dallas Roughnecks,"Matthew Armour; Noah Chambers; Joel Clutton; Abe Coffin; Dan Emmons; Jay Froude; Dillon Larberg; Ben Lewis; Brandon Malecek; Zach Marbach; Kai Marshall; Kaplan Maurer; Griffin Miller; Connor  Olson; Jake Reinhardt; Ben Rogers; Thomas Slack; Dalton Smith; Connor  Ughetta; Carson Wilder; Inactive: Casey Hogg, Alex Brouwer"
24,2019,3,DC Breeze,Jarrod Banks; Quinn Bergeron; David Bloodgood; Jay Boyle; Garrett Braun; Max Cassell; Matt Cullom; Cody Johnston; Alex Liu; Xavier Maxstadt; Matthew McDonnell; Anthony McLean; Ray Mendoza; AJ Merriman; Matt Neeley; Houston Parks; Nathan Prior; Kevin Versteeg; Kyle Vezina; Dane Warner
25,2019,3,Detroit Mechanix,Kevin Anthony; James Baker Jr.**; Joshua Beaulieu**; Alexander Bertoia; Benjamin Cheer; Kevin Coulter; Joseph Cubitt; Mitchell DeNooyer; Karl Fauerbach; Wasdi Grimaldo B.; Ashton Hoffman; David Innis**; Austin Johnson; Jordan Kinde; Justin Perticone; Troy Roberts; Joe Rogers; Jeffery Schubert; Andrew Sjogren; Mark Whitton
26,2019,3,Indianapolis AlleyCats,"Cameron Brock; Travis Carpenter; Kyle Cox; Jacob Fella**; Rick Gross; Alex Henderson; Conner Henderson; David Hortemiller; Dusty Hughes; Nick Hutton; Levi Jacobs; John Jones; Jeremy Keusch; Spencer Loscar; Chris Miller; Keegan North; Keenan Plew; Colin Ringwood**; Donovan Triplett; Zach Zebarth**; Inactive: Peter Carleton, Brett Matzuka"
27,2019,3,Los Angeles Aviators,Tyler Bacon**; Alex Drum; Collin  Gall; Joc Jimenez; Nate Kirchhofer**; Michael Kiyoi**; Ian Ladner; Danny Landesman; Ryan  Lepore; Wayne Lu; Sean McDougall; Sam Plasman; Nate Ransom; Zac Schakner; Jeff Silverman; Ryan  Smith; Mitchell Steiner; Zachary Theodore; Matt Theologidy; Aaron Weaver; Inactive: Xavier Charles
28,2019,3,Madison Radicals,"Tarik Akyuz; Tom Annen; Nate Bosscher; Colin Camp; Thomas Coolidge; Peter  Graffy; Colin Grandon; Avery Johnson; Sterling Knoche; Chase Marty; Andrew Meshnick; Seth Meyer; Ben Nelson; Kevin Pettit-Scantling; Dylan Power; Logan Pruess; Pat Shriwise; Chris Wilen; Joshua Wilson; Dave Wiseman; Inactive: Kevin Brown, Victor Luo"
29,2019,3,Minnesota Wind Chill,"Daniel Bates; Cameron Burden; Dylan DeClerck; Jesse Greenberg; Tate Halberg; Kristian Johnson; Michael Jordan; James Kittlesen; Josh Klane; Mathew Ladyman; Isaac Leonard; Brandon Matis; Brendan McCann; Mitchell McCarthy; Grayson Pangburn; Alan Scarth; Quinn Snider; Jordan Taylor; Bryan Vohnoutka; Ryan Welch; Inactive: Ethan Rasmussen, Jason Tschida"
30,2019,3,Philadelphia Phoenix,Mike Arcata; David Baer; Matt Ballman; Mike Campanella; Dustin Damiano; Patrick Diviney; Brice Dunn; Matt Esser; Ethan Fortin; Trey Katzenbach; Austin Lillis; Himalaya Mehta; Sean Mott; Nick Patel; Ethan Peck; James Pollard ; Zac Sands; Marc Sands; Billy Sickles; Ryan Weaver
31,2019,3,Pittsburgh Thunderbirds,Dylan Best; Adam Burgess; John Buss; Marquis Cofer; Thomas Edmonds; Mark Fedorenko; Chris Graber; Robert Halvorsen; Justin Kinkead; Jon Mast; Steve May; Pat McMullen; Dayne Meyer; Steve Mogielski; Anson Reppermund; Max Sheppard; Alex Thomas; Jimmy Towle; David Vatz; Owen Watt; Inactive: Noah Robinson
32,2019,3,San Diego Growlers,"Nathan Bridges; Travis Dunn; Sam Fontaine; Wesley Groth; Jake Gutkowski; Aidan Hall; Maxwell Hume; Joseph Huppert; Joshua Kohl; Mark (Dom) Leggio; Steven Milardovich; Tim Okita; Marcel Osborne; Scott Radlauer; Ryo Senda; Mark Slader; Reggie Sung; Michael Tran; William Turner; Bailey Wu; Inactive: Jonathan Helton, Sean Ham"
33,2019,3,San Jose Spiders,"Chuck  Cao; Matt Crawford; Ethan Falat; Brandon Fein; Jacob Greenberg; Keenan Laurence; Ben Levinsky; Nick Murphy; Justin Norden; Alex Pan; Mark Philipson; Brian Roach; Marcelo Sanchez; Aaron  Shi; Jackson Stearns; Skylohr Taylor; Gabe Taylor; Munis Thahir; Kevin Tien; Robert Yeagle; Inactive: Antoine Davis, Lior Givol"
34,2019,3,Seattle Cascades,"Jay Boychuk; Dennis Casio; William Coffin; Charlie Eide; Bryson Fox; Xtehn Frame; Peter Geertz-Larson; Brad Houser; Wally Kasprzycki; Steph Lim; Nick Mahan; Charlie Mercer; Marc Munoz; Henry Phan; June Rapisura; Zach Sabin; Ryan Segal; Kodi Smart; Keegan Taggart; Shane Worthington; Inactive: Mark Burton, Khalif El-Salaam"
35,2019,3,Tampa Bay Cannons,"Brandon Allen; Jack Barrow; Alex Bullock; Adam Carr; Jacob Clary; James Franklin; Larz Hanselman; Ryan Hiser; Jacob Lane; Tim Lootens; Josh McKisic; Billy O'Bryan**; Unmil Patel; Bobby Patterson**; Tanner Repasky; Andrew Roney; Bradley Seuntjens; Dustin Travaglini**; Hayden Wachob; Javier Yañez; Inactive: Nathan Vickroy, Ryan Chard"
36,2019,4,Atlanta Hustle,"Zack Avello; Sam Batson; Sun Choi; Jason Crowe; Karl Ekwurtzel; Christian Gaeta; Matthew Knowles; Paul Lally; Taylor Minch; Christian Olsen; Javier Ortiz; Jaime Perez; Player Pierce; Devon Rogers; Matt Smith; Trenton Spinks; Austin Taylor; Alex Trautman; Josh Turner; Kelvin Williams; Inactive: Brett Hulsmeyer, Joel Wooten"
